"station"	"year"	"lon"	"lat"	"non_NIS_Di"	"overall_Di"	"ratio_NISvsNAT"	"ratio_sp"	"non_NIS_Di_nw"	"overall_Di_nw"	"nbsp"	"sing.sp"	"FRic"	"FEve"	"FDiv"	"FDis"	"RaoQ"	"richness"	"Shannon"	"Simpson"	"Eveness"	"mean_NIS_Di"	"NIS_Di"	"NIS_relab"	"NIS_Di_nw"	"species"	"month"	"depth"	"bot_sal"	"bot_sal_var"	"bot_T"	"bot_T_var"	"bot_oxy"	"bot_oxy_var"
"78"	"111"	2015	15.59967	56.1335	0.239269095591634	0.230681759507849	0.173540050471849	16.6666666666667	0.252144778818716	0.251698537095515	6	6	0.580605576689366	0.851444176524798	0.807982644539115	2.12740712459038	5	6	0.324170923297064	0.134814954390788	0.180923237111021	0.187745079088927	0.187745079088927	0.173540050471849	0.249467328479513	"Marenzelleria"	5	20.8	6.87806987762451	0.409669728359892	8.15083503723145	4.4826093843055	385.520385742188	35.678664958839
"80"	"112"	2011	14.53537	55.9664	0.27182386587774	0.26828337798751	19.5125485510829	25	0.277862929856985	0.273930299020078	8	8	0.10134359699625	0.924241300826238	0.900209391503962	2.62175564628936	7	8	1.66061019415738	0.76401789075207	0.798584697320172	0.257661914316822	0.275185539741045	5.05869390620778	0.256563070314925	"Marenzelleria"	5	13.8	6.66465450000001	0.373765067158252	8.10721681634121	4.99837772920914	428.234308170549	47.8985528820628
"83"	"112"	2012	14.53536	55.9664	0.2427912019312	0.247507201463714	15.2105104831338	30	0.277647265952807	0.281772731324843	10	10	0.00291333458678971	0.944119545554267	0.907169375513209	2.97156466005672	9	10	1.62635876771333	0.745539647925053	0.706318638412874	0.258511200372911	0.243502834781956	2.96545851278834	0.28460811529864	"Marenzelleria"	5	13.8	7.15864078324445	0.337488266405852	9.6490693200589	3.90842331311653	386.285773257262	32.5936006703449
"85"	"112"	2013	14.53537	55.9664	0.260440253792002	0.26235499372402	5.08422604785902	20	0.28220706239485	0.280948897371826	10	10	0.00556030637497791	0.927459341014273	0.911752231338908	2.97447295656287	9	10	1.3617387164467	0.65743375386347	0.591395610346817	0.270013953452092	0.279049666856333	3.14296114039061	0.277257385553118	"Marenzelleria"	5	13.8	6.81297103583963	0.450370360830301	8.34435090169178	5.10730574711434	427.60914034824	46.1256356154941
"87"	"112"	2014	14.53536	55.9664	0.237890288102815	0.232035833461812	4.34361138276874	20	0.258983040224568	0.259861694101828	10	10	0.00672363888577756	0.90516993155505	0.908300545873046	2.96820368142903	9	10	1.1910941869196	0.539936019807899	0.517285632806224	0.208618014897802	0.215094493046019	1.82339160954462	0.262500678163268	"Marenzelleria"	5	13.8	7.15209717961091	0.238489624627093	9.14599016009634	5.40008947333295	410.670016584879	45.6040197970207
"89"	"112"	2015	14.53537	55.9664	0.246284499800393	0.233151996118275	30.8472235119202	22.2222222222222	0.265641678315506	0.26589546991923	9	9	0.0313070450502896	0.93218343425977	0.906033298074882	2.812094828369	8	9	1.32686938286623	0.642121666376718	0.603884280447495	0.187188233230863	0.197188759093304	1.87897183910952	0.26127076066045	"Marenzelleria"	5	13.8	7.03950759419437	0.402982813045603	9.5119703430444	4.34609155633912	391.675676609999	39.798142849091
"91"	"112"	2016	14.53536	55.9664	0.289463874108075	0.278337351977087	54.2043882916344	28.5714285714286	0.29436160830974	0.289545160681335	7	7	0.177302173627265	0.869166939087967	0.901029157246229	2.43368473106753	6	7	1.52431711414173	0.728468354827004	0.783344038203278	0.250521046649618	0.264656896588299	11.8887582335098	0.298447609874736	"Marenzelleria"	5	13.8	7.31400507587276	0.475847152151688	10.4182705342806	4.68935140596822	404.614991656209	37.556970058494
"93"	"113"	2011	14.27755	55.8666	0.255852238842649	0.241264152351141	16.1119437863786	22.2222222222222	0.294233584325872	0.28951231716526	9	9	0.0210815490111932	0.916192704919506	0.899360716211714	2.80364442141297	8	9	1.16932207345433	0.517022208207696	0.53218140990938	0.190205849630862	0.210858784563622	13.52933736964	0.275136484612367	"Marenzelleria"	5	13.9	6.93754424118538	0.50030501830536	8.39796339822522	4.70406816834134	421.043801858902	47.6593091807814
"94"	"113"	2012	14.27754	55.8666	0.253454044237632	0.236473356676925	34.4177806802495	22.2222222222222	0.28575930832878	0.283191048230353	9	9	0.0268615234081088	0.952238959143538	0.916014560364389	2.80512155009073	8	9	1.25123957227662	0.624999707896522	0.569463670296985	0.177040950214452	0.188161642370442	5.81788591984847	0.279024568403945	"Marenzelleria"	5	13.9	7.23009687326273	0.388453355847394	8.31033385468786	3.82356494558275	395.931386053689	36.3787339010584
"96"	"113"	2013	14.27755	55.8666	0.252876396152714	0.235364767432276	22.6389266313379	22.2222222222222	0.294233584325872	0.28951231716526	9	9	0.0210815490111932	0.916192704919506	NA	2.80364442141297	8	9	0.985377530742882	0.484338319335461	0.448464640759432	0.174074066910743	0.18806310028541	21.0025993484053	0.275136484612367	"Marenzelleria"	5	13.9	7.00866449953489	0.496289660108487	8.24376456644485	4.76616416435554	419.747897400618	46.9837818351773
"98"	"113"	2014	14.27754	55.8666	0.262581961874112	0.239312710747053	78.2233763363568	25	0.24859237962177	0.250674001192754	8	8	0.0826730126173389	0.948423458129379	NA	2.63755562161336	7	8	0.76150633294049	0.388653292373863	0.366207136712928	0.169504957365875	0.182708802916662	2.15865302197738	0.251349529711274	"Marenzelleria"	5	13.9	7.27936944896707	0.303248809820718	9.71726890803196	5.30973220256058	403.728847199531	46.4786586974362
"101"	"113"	2015	14.27755	55.8666	0.21976568637332	0.208280108370956	6.1148734556999	22.2222222222222	0.258793196965116	0.255839684244109	9	9	0.0139863732569658	0.869364043213926	0.891012532992137	2.79926737637709	8	9	0.745923522324676	0.317690051512138	0.33948442504179	0.168080585362682	0.183110288837147	2.135670440283	0.252998648247511	"Marenzelleria"	5	13.9	7.17850827363992	0.497279815640437	8.79897752095979	4.20540144452995	391.85283245006	41.6121430926484
"103"	"113"	2016	14.27754	55.8666	0.266945381155501	0.245031468994019	56.5141936714739	28.5714285714286	0.283686097412216	0.277819278351425	7	7	0.173634210849976	0.913513322127336	0.88038844725173	2.41910253046338	6	7	1.32842384165211	0.673078305332186	0.682674810189473	0.190246688590314	0.184505806325696	9.74619184640532	0.260832922323009	"Marenzelleria"	5	13.9	7.4089148232169	0.497738896244661	10.6447118941579	4.47658552343366	392.033886287415	38.6348251205836
"105"	"114"	2011	14.89067	56.14167	0.220134559552992	0.217834430607115	3.75022648587172	9.09090909090909	0.252961566222166	0.2540953074794	11	11	0.00259537070866824	0.885143273840148	0.853834737263442	3.03570659783693	10	11	0.713787476178692	0.289206231686304	0.297672498159477	0.194833141148345	0.194833141148345	3.75022648587172	0.265432720051736	"Marenzelleria"	5	21.6	6.76405483681035	0.436233267581986	6.98916264491356	3.75459832068279	422.618604777158	38.6810071986891
"106"	"114"	2013	14.89067	56.14167	0.239838926851541	0.239978499232223	6.55538343228326	10	0.251244943417158	0.253386290990339	10	10	0.0158096018672298	0.920183579660008	0.81332821389713	2.91022002427893	9	10	1.28963522627592	0.61164573144408	0.560081462439682	0.241234650658362	0.241234650658362	6.55538343228326	0.272658419148964	"Marenzelleria"	5	21.6	6.98643031023327	0.541456076388036	3.804903294653	4.20753532003501	421.407799265379	46.725328336872
"107"	"114"	2015	14.89067	56.14167	0.230641170078406	0.226640706635542	1.68734499567776	10	0.27273520156588	0.274478100997688	10	10	0.00923532644806881	0.911966618360324	0.857876094153722	2.93262794580056	9	10	0.519509747364182	0.20304135337365	0.225620216575217	0.190636535649768	0.190636535649768	1.68734499567776	0.29016419588396	"Marenzelleria"	5	21.6	7.08152799601126	0.5223070253941	6.66961835142705	3.91883785065604	391.676573227592	38.9775927815563
"109"	"115"	2011	14.57933	56.02833	0.267368227137285	0.259955447915842	29.1062130369958	27.2727272727273	0.291666174407295	0.290485877921691	11	11	0.000250548342375002	0.831434555383888	NA	3.14468355836449	10	11	1.4311793483482	0.700281968417924	0.596848146198643	0.240188036658662	0.198330321693813	0.0229953020775082	0.296999986663513	"Marenzelleria"	5	5.8	6.60307455062866	0.386988144412398	8.02518367767334	4.95897336734128	429.577606201172	46.1815516429156
"112"	"115"	2015	14.57933	56.02833	0.312532008194939	0.306065230035197	22.0769444470184	23.0769230769231	0.286775418456282	0.286529286751761	13	13	0.0035169868250249	0.824811115730404	0.932047463000717	3.45243053646582	12	13	1.38179789185772	0.648269582923092	0.538723264784161	0.284509302836059	0.205336331127878	0.693381869784887	0.305783378190378	"Marenzelleria"	5	5.8	6.97824764251709	0.401882773152497	9.04913139343262	4.32912504734164	400.528625488281	40.4558731304276
